title,genres,keywords,overview
Anna and the King,"Romance, Drama, History","burma, daughter, teacher, thailand, 19th century, royalty, siam, battle, east india company, death penalty, traitor, civil war, denunciation, parent child relationship, based on true story, palace, victorian era",The story of the romance between the King of Siam (now Thailand) and the widowed British school teacher Anna Leonowens during the 1860s. Anna teaches the children and becomes romanced by the King. She convinces him that a man can be loved by just one woman.
The Cider House Rules,Drama,"drug addiction, orphanage, incinerator, pregnancy, incest, anesthetic, drug overdose, abortionist, picking apples, cider, war injury, maine, orphan, abortion, cigarette, 1940s, apple cider, based on novel or book","Homer is an orphan who was never adopted, becoming the favorite of orphanage director Dr. Larch. Dr. Larch imparts his full medical knowledge on Homer, who becomes a skilled, albeit unlicensed, physician. But Homer yearns for a self-chosen life outside the orphanage. What will Homer learn about life and love in the cider house? What of the destiny that Dr. Larch has planned for him?"
Stuart Little,"Adventure, Family, Fantasy, Comedy","orphanage, world trade center, cat, adoption, sibling relationship, stepbrother, mouse, gangster, based on novel or book","The adventures of a heroic and debonair stalwart mouse named Stuart Little with human qualities, who faces some comic misadventures while searching for his lost bird friend and living with a human family as their child."
Man on the Moon,"Drama, Comedy","biography, pro wrestling, mentally unstable, pro wrestlers, comedian, show business","The story of the life and career of eccentric avant-garde comedian, Andy Kaufman."
Any Given Sunday,Drama,"trainer, american football, training, american football stadium, sports, american football coach",A star quarterback gets knocked out of the game and an unknown third stringer is called in to replace him. The unknown gives a stunning performance and forces the ageing coach to reevaluate his game plans and life. A new co-owner/president adds to the pressure of winning. The new owner must prove herself in a male dominated world.
Onegin,"Romance, Drama","19th century, st. petersburg, relationship, unrequited love, loss of loved one, tragic love, russia, woman director","In the opulent St. Petersburg of the Empire period, Eugene Onegin is a jaded but dashing aristocrat – a man often lacking in empathy, who suffers from restlessness, melancholy and, finally, regret. Through his best friend Lensky, Onegin is introduced to the young Tatiana. A passionate and virtuous girl, she soon falls hopelessly under the spell of the aloof newcomer and professes her love for him"
Angela's Ashes,Drama,"emigration, dead children, hunger, socially deprived family, irish-american, poverty, children in need, rainy setting, based on memoir or autobiography, rain, limerick, 1930s, famine, irish catholic, life in the slums, drunkard, brooklyn, ireland, alcoholism, alcoholic father, new york city","Based on the best selling autobiography by Irish expat Frank McCourt, Angela's Ashes follows the experiences of young Frankie and his family as they try against all odds to escape the poverty endemic in the slums of pre-war Limerick. The film opens with the family in Brooklyn, but following the death of one of Frankie's siblings, they return home, only to find the situation there even worse. Prejudice against Frankie's Northern Irish father makes his search for employment in the Republic difficult despite his having fought for the IRA, and when he does find money, he spends the money on drink."
The Talented Mr. Ripley,"Crime, Thriller, Drama","lovesickness, secret identity, atlantic ocean, envy, new love, ship, inferiority, rejection, double life, gay theme, prosecution, cowardliness, ocean liner, venice, identity theft, new identity, bold, beguilement, dual identity, male homosexuality, italy, inferiority complex, homicide, fake identity, yacht, jealousy, wealth, friendship, new york city, based on novel or book","Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder."
Play It to the Bone,Comedy,sports,"Two aging fighters in LA, friends, get a call from a Vegas promoter because his undercard fighters for a Mike Tyson bout that night are suddenly unavailable. He wants them to box each other. They agree as long as the winner gets a shot at the middleweight title. They enlist Grace, Cesar's current and Vinnie's ex girlfriend, to drive them to Vegas."
Fantasia 2000,"Family, Animation, Music","live action and animation, orchestra, classical music, magician, musical, magic","Blending lively music and brilliant animation, this sequel to the original 'Fantasia' restores 'The Sorcerer's Apprentice' and adds seven new shorts."
The Virgin Suicides,"Romance, Drama","1970s, suicide, suicide attempt, overprotective parent, lust, suburb, family, femininity, sisters, teen suicide, coming of age, michigan, male gaze, catholic, woman director, based on novel or book","A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents."
The Dirt on Soap,"Family, Animation",soap,How soap cleans? Part of the Science Please! collection for children.
My Dog Skip,"Drama, Family, Comedy","dog, mississippi river, pets","A shy boy is unable to make friends in Yazoo City, Mississippi in 1942, until his parents give him a terrier puppy for his ninth birthday. The dog, which he names Skip, becomes well known and loved throughout the community and enriches the life of the boy, Willie, as he grows into manhood. Based on the best-selling Mississippi memoir by the late Willie Morris."
Next Friday,Comedy,"gang member, prison, boy gang, prison escape, mexican american, repayment, escape, revenge, cholo, bully, los angeles, gang war, california","A streetwise man flees South Central Los Angeles, heading to the suburbs and his lottery-winner uncle and cousin, to avoid a neighborhood thug with a grudge who has just escaped from prison."
Supernova,"Thriller, Science Fiction, Horror","future, blast, black people, supernova, starship","Set in the 22nd century, when a battered salvage ship sends out a distress signal, the seasoned crew of the rescue hospital ship Nova-17 responds. What they find is a black hole--that threatens to destroy both ships--and a mysterious survivor whose body quickly mutates into a monstrous and deadly form."
Saving Grace,"Crime, Comedy","greenhouse, cornwall, widow, police, marijuana, england, hoodlum, drug dealer, drugs","Unexpectedly widowed, prim and proper housewife Grace Trevethyn finds herself in dire financial straits when she inherits massive debts her late husband had been accruing for years. Faced with losing her house, she decides to use her talent for horticulture and hatches a plan to grow potent marijuana which can be sold at an astronomical price, thus solving her financial crisis."
The Broken Hearts Club: A Romantic Comedy,"Romance, Drama, Comedy","relationship problems, gay friend, gay theme, male friendship, roommate, lgbt, baseball, romantic comedy, in vitro fertilisation, gay relationship, lesbian relationship","A close-knit group of gay friends share the emotional roller coster of life, relationships, the death of friends, new beginnings, jealousy, fatherhood and professional success. At various stages of life's disarray, these young men share humorous and tragic relationships and always have each other to rely on."
The Beach,"Romance, Thriller, Adventure, Drama","map, extramarital affair, commune, backpacker, community, thailand, beach, exotic island, shark, leader, marijuana, voiceover, delusion, shark attack, group dynamics, hippie, based on novel or book","Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it."
Scream 3,"Mystery, Horror","self-referential, reporter, phone call, annual phone call, slasher, ex-cop, mask, hollywood, former-reporter, serial killer, usa, isolation, movie business","While Sidney lives in safely guarded seclusion, bodies begin dropping around the Hollywood set of STAB 3, the latest movie based on the gruesome Woodsboro killings."
Gun Shy,"Romance, Thriller, Comedy, Action","nervous breakdown, drug cartel","Legendary undercover DEA agent Charlie Mayough has suddenly lost his nerves of steel. On the verge of a career-induced mental breakdown, and in complete fear of trigger-happy Mafia leader Fulvio Nesstra, Charlie seeks psychiatric help and finds himself relying on the support of an unstable therapy group and nurse Judy just to get through his work."
The Million Dollar Hotel,"Thriller, Drama","hotel, fbi, confidence, junkie, los angeles, insanity, drugs, friendship, california",The Million Dollar Hotel starts with a jump from a roof top that clears up a death in a hotel that was burning to the ground where a lot of strange people had been living.
Navigating the Heart,"Romance, TV Movie, Drama",romance,"When sophisticated New York journalist Edith Iglauer is assigned to go to British Columbia to write a frivolous piece on the fishing industry, she butts heads with local fisherman and notorious loner, John Daly. While she thrives on the fast-paced life of Manhattan, he loathes pretension and could go days without speaking to anyone. But when the two are caught in a perilous situation, they are forced to put aside their pettiness and re-examine their lives. With external factors stripped away, they begin to fall in love. Ultimately, Edith must decide between staying in the glamorous world she has always cherished or leaving it all behind for a chance at love."
Hanging Up,"Drama, Comedy","abandoned by wife, father daughter relationship, depressed father, phone calls, dog, neurotic, father in hospital, holidays, magazine owner, sibling relationship, broken heart, curmudgeon, heartbreak, sisters, memories, hospital, based on true story, party planner, soap opera actress, abandoned by mother, estranged mother, los angeles, sister sister relationship, woman director, california","A trio of sisters bond over their ambivalence toward the approaching death of their curmudgeonly father, to whom none of them was particularly close."
The Whole Nine Yards,"Crime, Comedy","mafia, chicago, dentist, canada, illinois, gangster, montreal, hoodlum","After a mobster agrees to cooperate with an FBI investigation in order to stay out of prison, he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbours figure out his true identity and come knocking to see if he'd be up for one more hit—suburban style."
Boiler Room,"Crime, Thriller, Drama","long island, new york, stockbroker, finances, investment firm, investment banker",A college dropout gets a job as a broker for a suburban investment firm and is on the fast track to success—but the job might not be as legitimate as it sounds.
Pitch Black,"Thriller, Science Fiction, Action","survival, eclipse, creature, dystopia, alien life-form, flask, spaceship crash, darkness, comet","When their ship crash-lands on a remote planet, the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows, waiting to attack in the dark, and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising, the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out, there's only one rule: Stay in the light."
Reindeer Games,"Crime, Thriller, Action","manipulation, extramarital affair, prison, christmas, villainess, role reversal, casino, small town, voyeurism, robbery","After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist."
The Next Best Thing,"Romance, Drama, Comedy","co-parenting, flush, best friend, single father, yoga, custody battle, single, parent child relationship, los angeles, california","A comedy-drama about best friends - one a straight woman, Abbie, the other a gay man, Robert - who decide to have a child together. Five years later, Abbie falls in love with a straight man and wants to move away with her and Robert's little boy Sam, and a nasty custody battle ensues."
Drowning Mona,"Crime, Mystery, Comedy","dysfunctional, death, playful, accident, investigation, suspicion, remake, murder","The recently deceased Mona Dearly was many things: an abusive wife, a domineering mother, a loud-mouthed neighbor and a violent malcontent. So when her car and corpse are discovered in the Hudson River, police Chief Wyatt Rash immediately suspects murder rather than an accident. But, since the whole community of Verplanck, N.Y., shares a deep hatred for this unceasingly spiteful woman, Rash finds his murder investigation overwhelmed with potential suspects."
Company Man,Comedy,duringcreditsstinger,"Set in the 1960's, a school teacher pretends to be a CIA spy to get his nagging wife off his back. He helps a Russian ballet dancer defect and is then sent to Cuba to locate Agent X for the CIA."
Mission to Mars,"Adventure, Mystery, Science Fiction","space, spacecraft, planet mars, dismemberment, alien contact, trapped in space, space travel, alien, astronaut, based on theme park ride","When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate."
The Gift,"Thriller, Drama, Mystery, Horror","extrasensory perception, widow, clairvoyant, small town, premonition, backwoods, pond, dream, fortune teller, southern gothic, nightmare, sheriff, abusive husband, tarot cards, court","Annie Wilson, young widow and mother of three, makes her living foretelling others' futures⁠—though her own has become cloudier than even she can see. Threatened by a client's violent husband and plagued by visions of a missing local woman, Annie finds herself pulled into a thicket of lies and deception in which her extraordinary gift may ultimately get her killed."
High Fidelity,"Romance, Drama, Music, Comedy","music journalist, record album, top five, chicago, pop, record store, relationship problems, flashback, music record, breaking the fourth wall, record label, ex-girlfriend, earnest, record, music scene, disc jockey, thoughtful, illinois, dating history, falling in love, rock 'n' roll, music culture, break-up, breaking up with boyfriend, fear of commitment","When record store owner and compulsive list-compiler Rob Gordon gets dumped by his long-time girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in order to figure out what went wrong. As he examines his failed attempts at romance and happiness, the process finds him being dragged, kicking and screaming, into adulthood."
Erin Brockovich,Drama,"biography, water pollution, legal drama, corporate negligence, environmental law, single mother, based on true story","A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up."
Final Destination,Horror,"death, corpse, premonition, cheating death, omen, near-death experience, airport, airplane accident","After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one."
Romeo Must Die,"Crime, Thriller, Action","oakland, east asian lead, hip-hop, martial arts, california","Two warring gang families (one African-American, the other Chinese) maneuver for bragging rights to the Oakland, California, docks. Hang Sing and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead … or worse!"
Traffic,"Crime, Thriller, Drama","father, daughter, drug smuggling, drug abuse, mother, marriage dispute, addiction, usa–mexico border, police operation, war on drugs, smuggling (contraband), drug lord, addicted, drug trafficking, drug dealer","An exploration of the United States of America's war on drugs from multiple perspectives. For the new head of the Office of National Drug Control Policy, the war becomes personal when he discovers his well-educated daughter is abusing cocaine within their comfortable suburban home. In Mexico, a flawed, but noble policeman agrees to testify against a powerful general in league with a cartel, and in San Diego, a drug kingpin's sheltered trophy wife must learn her husband's ruthless business after he is arrested, endangering her luxurious lifestyle."
Waking the Dead,"Romance, Drama, Mystery","1970s, priest, 1980s, death, politics, politician, election, congressman, chile, new york city, based on novel or book","A congressional candidate questions his sanity after seeing the love of his life, presumed dead, suddenly emerge."
Here on Earth,"Romance, Drama","spoiled rich kid, diner, working class, private school, coming of age, teenage love, car race, high school","Three lives of three young people intersect over the course of one summer. A rich student and a young working-class man accidentally destroy a diner when their impromptu road race takes a disastrous turn. Ordered by a judge to spend the summer repairing the building, they find themselves becoming rivals for the affections of the owner's daughter."
The Skulls,"Crime, Thriller, Drama","fraternity, ivy league, suicide attempt, pizza, rooftop, pay phone, dining hall, u.s. senator, foot race, journalist, wealth, secret society","A senior at an Ivy League college, who depends on scholarships and working on the side, gets accepted into the secret society The Skulls. He hopes it betters chances at Harvard but The Skulls is not what he thought and comes at a price."
Love's Labour's Lost,"Romance, Music, Comedy","dance, musical, romance",The King of Navarre and his three companions swear a very public oath to study together and to renounce women for three years. Their honour is immediately put to the test by the arrival of the Princess of France and her three lovely companions. It's love at first sight for all concerned followed by the men's hopeless efforts to disguise their feelings.
28 Days,"Drama, Comedy","drug addiction, wedding, withdrawal, sobriety, car crash, alcoholism, drug rehabilitation, woman director","After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction."
Rules of Engagement,"Drama, War","lawyer, court case, life-saver, wound, colony, vietnam veteran",A Marine Colonel is brought to court-martial after ordering his men to fire on demonstrators surrounding the American embassy in Yemen.
Ready to Rumble,"Comedy, Action","pro wrestling, sports",Two slacker wrestling fans are devastated by the ousting of their favorite character by an unscrupulous promoter.
Return to Me,"Romance, Comedy","veterinarian, love of one's life, transplantation, woman director","It took a lot of cajoling to get Bob, a recently widowed architect, to go on a blind date at a quirky Irish-Italian eatery. Once there, he's smitten instantly not with his date but with the sharp-witted waitress. Everything seems to be going great until an unbelievable truth is revealed, one that could easily break both of their hearts for good."
American Psycho,"Crime, Thriller, Drama","harvard business school, american businessman, 1980s, insecure, voice imitation, big city, wall street, businessman, psychological thriller, psychopath, horror, callous, grave, character study, white collar, ambiguity, shocking, satire, aggressive, chainsaw, serial killer, bloody, dark comedy, macabre, new york city, based on novel or book","A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies."
Keeping the Faith,"Romance, Comedy","priest, catholicism, rabbi, romantic comedy, love triangle","Best friends since they were kids, Rabbi Jacob Schram and Father Brian Finn are dynamic and popular young men living and working on New York's Upper West Side. When Anna Reilly, once their childhood friend and now grown into a beautiful corporate executive, suddenly returns to the city, she reenters Jake and Brian's lives and hearts with a vengeance. Sparks fly and an unusual and complicated love triangle ensues."
U-571,"Thriller, Drama, War, Action","adoring, world war ii, submarine, mission, north atlantic","In the midst of World War II, the battle under the sea rages and the Nazis have the upper hand as the Allies are unable to crack their war codes. However, after a wrecked U-boat sends out an SOS signal, the Allies realise this is their chance to seize the 'enigma coding machine'."
Love & Basketball,"Romance, Drama, Comedy","relationship, basketball, high school sports, lovers, high school, sports, affection, woman director","Monica Wright and Quincy McCall grew up in the same neighborhood and have known each other since childhood. As they grow into adulthood, they fall in love, but they also share another all-consuming passion: basketball.  As Quincy and Monica struggle to make their relationship work, they follow separate career paths though high school and college basketball and, they hope, into stardom in big-league professional ball."
Gossip,"Thriller, Mystery","college, gossip, experiment, rumor","For a class project, three college students decide to invent an unfounded rumor about the most popular girl on campus. But as the rumor spreads, it begins to spiral out of control."
Where the Heart Is,"Romance, Drama, Comedy","pregnancy, supermarket, oklahoma, pregnant minor, tennessee, baby, change, teenage pregnancy, starting over, unwillingly pregnant, california","Novalee Nation is a 17-year-old Tennessee transient who has to grow up in a hurry when she's left pregnant and abandoned by her boyfriend on a roadside, and takes refuge in the friendly aisles of Wal-Mart. Eventually, some eccentric but kindly strangers 'adopt' Novalee and her infant daughter, helping them buck the odds and build a new life."
The Flintstones in Viva Rock Vegas,"Romance, Family, Comedy","waitress, stone age, marriage proposal, best friend, dinosaur, flirt","The Flintstones are at it again. The Flintstones and the Rubbles head for Rock Vegas with Fred hoping to court the lovely Wilma. Nothing will stand in the way of love, except for the conniving Chip Rockefeller who is the playboy born in Baysville but who has made it in the cutthroat town of Rock Vegas. Will Fred win Wilma's love?"
Frequency,"Thriller, Science Fiction","father, paranormal, criminal investigation, flashback, rescue, phenomenon, future, race against time, radio, mother, escape, time travel, detective, family relationships, baseball, firefighter, altering history, time, explosion, investigation, aurora borealis, amateur radio, murder, new york city","When a rare phenomenon gives police officer John Sullivan the chance to speak to his father, 30 years in the past, he takes the opportunity to prevent his dad's tragic death.  After his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time."
Gladiator,"Adventure, Drama, Action","2nd century, battlefield, ancient world, gladiator, slave auction, arena, ancient rome, slavery, roman empire, revenge, emperor, combat, chariot, rome, parent child relationship, successor, barbarian horde, italy, historical fiction, philosopher, senate, maximus, commodus, epic","In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences."
I Dreamed of Africa,"Romance, Adventure, Drama",africa,"Inspired by the true story of indomitable Kuki Gallmann, the film tells of a beautiful and inquisitive woman who had the courage to escape from her comfortable yet monotonous life in Italy to start anew in the African wilderness with her son, Emanuele, and her new husband, Paolo. Gallmann faces great danger there but eventually becomes a celebrated conservationist."
Battlefield Earth,"Adventure, Science Fiction, Comedy, Action","inflammatory, post-apocalyptic future, fighter jet, city ruin, cavemen, distressing, mining, dystopia, scientology, alien invasion, matter of fact, bureaucrat, based on novel or book","In the year 3000, man is no match for the Psychlos, a greedy, manipulative race of aliens on a quest for ultimate profit. Led by the powerful Terl, the Psychlos are stripping Earth clean of its natural resources, using the broken remnants of humanity as slaves. What is left of the human race has descended into a near primitive state. After being captured, it is up to Tyler to save mankind."
Center Stage,"Drama, Music","ballet dancer, dance, ball, competition, ballet, dancer, dance teacher, career, entrance examination, new york city",A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.
Hamlet,Drama,"father, corporation, loss of loved one, shakespeare in modern dress, hamlet, video store, father murder, new york city",Modern day adaptation of Shakespeare's immortal story about Hamlet's plight to avenge his father's murder in New York City.
Shadow of the Vampire,"Drama, Horror","vampire, nosferatu, movie business",Director F.W. Murnau makes a Faustian pact with a vampire to get him to star in his 1922 film Nosferatu.
Dinosaur,"Family, Animation","prehistory, asteroid, death, lemur, cataclysm, mesozoic, cavern, dinosaur, leader, prehistoric creature, birth, nesting grounds, comet, migration",An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.
Road Trip,"Adventure, Comedy","college, university, blonde, young adult, sex comedy, politically incorrect, crude humor, male virgin, losing money, school bus, sexism, dorm room, road trip, politics, sperm donor, sorority, sex tape, cross country, stoner, sperm bank","From the director of the Hangover trilogy and Joker, Road Trip is a raunchy college comedy classic.  After an Ithaca college student films his one-night stand with a beautiful sorority girl, he discovers one of his friends has accidentally mailed the homemade porn tape to his girlfriend. In a frenzy, he must borrow a car and hit the road in a desperate bid to intercept the tape.  Featuring a talented cast that includes Breckin Meyer, Rachel Blanchard, Seann William Scott, Amy Smart, Fred Ward, Tom Green, Anthony Rapp, Andy Dick, and Ethan Suplee."
Mission: Impossible II,"Thriller, Adventure, Action","cia, secret identity, agent, island, ex-lover, duel, helicopter, skyscraper, research laboratory, secret mission, rescue team, dying and death, lethal virus, secret agent, spy, undercover, computer, spain","With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude."
Shanghai Noon,"Adventure, Western, Comedy, Action","travel, 19th century, rescue, action hero, sioux, good versus evil, chinese, princess, cowboy, martial arts, native american, duringcreditsstinger","Chon Wang, a clumsy imperial guard trails Princess Pei Pei when she is kidnapped from the Forbidden City and transported to America. Wang follows her captors to Nevada, where he teams up with an unlikely partner, outcast outlaw Roy O'Bannon, and tries to spring the princess from her imprisonment."
Big Momma's House,"Crime, Comedy","disguise, fbi, impersonation, undercover","When a street-smart FBI agent is sent to Georgia to protect a beautiful single mother and her son from an escaped convict, he is forced to impersonate a crass Southern granny known as Big Momma in order to remain incognito."
Shaft,"Crime, Thriller, Adventure, Action","lucifer morningstar, xenophobia, sibling relationship, corruption, revenge, african american, italian american, drug dealer, drugs, remake, police officer, murder, new york city, based on novel or book","New York police detective John Shaft arrests Walter Wade Jr. for a racially motivated slaying. But the only eyewitness disappears, and Wade jumps bail for Switzerland. Two years later Wade returns to face trial, confident his money and influence will get him acquitted -- especially since he's paid a drug kingpin to kill the witness."
Boys and Girls,"Romance, Drama, Comedy","college, university, new love, girlfriend, relationship, platonic love, motherly love, model student, lovers, soulmates, friendship","Ryan and Jennifer are opposites who definitely do not attract. At least that's what they always believed. When they met as twelve-year-olds, they disliked one another. When they met again as teenagers, they loathed each other. But when they meet in college, the uptight Ryan and the free-spirited Jennifer find that their differences bind them together and a rare friendship develops."
Titan A.E.,"Adventure, Family, Animation, Science Fiction, Action","space, monster, dystopia, galaxy, mission, alien","A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Drej are bent on mankind's destruction."
Poor White Trash,"Crime, Comedy","college, ambition, theft, burglary, temptation, sheriff, bikini, trailer",Mike and Lenny are two buddies who dream of getting out of the trailer park. Out of desperation they resort to burglary as a means of financing Mike's college education. Their dream is jeopardized one summer day when their ploy to shoplift Near Beer begins a crime spree and a series of mishaps during which they are threatened with jail.
"Me, Myself & Irene",Comedy,"road trip, aftercreditsstinger, ex-cop, schizophrenia, duringcreditsstinger","Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication."
Chicken Run,"Family, Animation, Comedy","pie machine, farm, raf, claymation, stop motion, farmer, escape, royal air force, yorkshire, freedom, chicken, explosion, northern england, plasticine","The creators of Wallace & Gromit bring you an exciting and original story about a group of chickens determined to fly the coop–even if they can’t fly! It’s hardly poultry in motion when Rocky attempts to teach Ginger and her feathered friends to fly…but, with teamwork, determination and a little bit o’ cluck, the fearless flock plots one last attempt in a spectacular bid for freedom."
The Patriot,"Drama, War, History, Action","patriot, gore, daughter, south carolina, southern usa, general, insurgence, patriotism, loss of loved one, revolutionary war, sword fight, mission, based on true story, soldier, rebel, american revolution, historical fiction, martial arts, 18th century, epic","After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son."
The Perfect Storm,"Thriller, Adventure, Drama, Action","disaster, biography, u.s. air force, meteorologist, natural disaster, city hall, male camaraderie, shark, jamaican, man vs nature, based on true story, storm at sea, new england, 1990s, marina, tragic event, rescue boat, thunderstorm, the flemish cap, based on novel or book","In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail."
Dancer in the Dark,"Crime, Drama","debt, female friendship, eye operation, immigrant, factory worker, hereditary disease, execution, small town, dying and death, musical, mother son relationship, dancing, naivety, daydreaming, blindness and impaired vision, court, robbery, individual, trailer, coping mechanisms, police officer, murder","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings."
The Adventures of Rocky & Bullwinkle,"Adventure, Family, Fantasy, Animation, Comedy","helicopter, live action and animation, cartoon, jail, breaking the fourth wall, helicopter crash, road trip, helicopter chase, police, car crash, internet portal, escape from jail","Rocky and Bullwinkle have been living off the finances made from the reruns of their cartoon show. Boris and Natasha somehow manage to crossover into reality and team up with Fearless Leader, an evil criminal turned media mogul with some evil plans up his sleeve. Rocky and Bullwinkle must stop the three of them before they wreak havoc."
The Kid,"Family, Fantasy, Comedy","age difference, suppressed past, changing the past or future, midlife crisis","Powerful businessman Russ Duritz is self-absorbed and immersed in his work. But by the magic of the moon, he meets Rusty, a chubby, charming 8-year-old version of himself who can't believe he could turn out so badly – with no life and no dog. With Rusty's help, Russ is able to reconcile the person he used to dream of being with the man he's actually become."
Scary Movie,Comedy,"horror parody, parody, crude humor, psychopath, horror spoof, aftercreditsstinger, high school, satire, spoof, drugs, garage","A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!"
X-Men,"Adventure, Science Fiction, Action","superhuman, based on comic, superhero, mutant","Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers."
Thomas and the Magic Railroad,"Drama, Family, Animation","buffers, magic gold dust, mountain, windmill, based on tv series, train station, bridge, chase scene, coal, family relationships, magic, deceived wife, nightmare, trains, woman director","Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile, Thomas is fending off attacks by the nasty diesel engines. Getting more gold dust will require help from Mr. C's slacker cousin, his new friend Lily and her morose grandfather, plus the secret engine."
The In Crowd,"Thriller, Drama, Mystery",woman director,"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell."
What Lies Beneath,"Thriller, Drama, Mystery, Horror","haunting, ghost, lake, missing child, therapist, vermont, haunted house, séance, car accident, ouija board, new neighbor, secret, suspicion","When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on."
Nutty Professor II: The Klumps,"Romance, Fantasy, Science Fiction, Comedy","mad scientist, alter ego, research laboratory, family, dean, duringcreditsstinger","The hilarity begins when professor Sherman Klump finds romance with fellow DNA specialist, Denise Gaines, and discovers a brilliant formula that reverses aging. But Sherman's thin and obnoxious alter ego, Buddy Love, wants out...and a big piece of the action. And when Buddy gets loose, things get seriously nutty."
Space Cowboys,"Thriller, Adventure, Action","elderly, nasa, space travel, astronaut, space western","Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth."
Hollow Man,"Thriller, Science Fiction, Action","invisible person, survival horror, scientist, slasher, villain, voyeurism, experiment, invisibility, killing","Cocky researcher Sebastian Caine is working on a project to make living creatures invisible. Determined to achieve the ultimate breakthrough, Caine pushes his team to move to the next phase — using himself as the subject. The test is a success, but when the process can't be reversed and Caine seems doomed to future without flesh, he starts to turn increasingly dangerous."
